23.235.36.15  125.26ms
23.235.36.57  125.83ms
23.235.36.25  125.95ms
23.235.33.8  126.15ms
23.235.37.76  126.18ms
23.235.36.192  126.36ms
23.235.32.237  126.85ms
23.235.32.201  126.91ms
23.235.32.254  126.91ms
23.235.33.146  127.00ms
23.235.37.46  127.00ms
23.235.32.46  127.31ms
23.235.37.45  127.33ms
23.235.37.119  127.70ms
23.235.36.167  127.94ms
23.235.33.190  128.00ms
23.235.32.122  128.10ms
23.235.36.0  128.15ms
23.235.32.83  128.26ms
23.235.37.64  128.36ms
23.235.37.62  128.40ms
23.235.32.98  128.70ms
23.235.32.212  128.96ms
23.235.32.131  129.03ms
23.235.32.124  129.82ms
23.235.33.88  129.95ms
23.235.36.153  130.00ms
23.235.33.53  130.10ms
23.235.33.31  130.18ms
23.235.33.141  130.34ms
23.235.32.206  130.43ms
23.235.36.43  130.50ms
23.235.32.4  131.02ms
23.235.33.186  131.08ms
23.235.37.194  131.26ms
23.235.32.59  131.33ms
23.235.32.173  131.34ms
23.235.37.89  131.40ms
23.235.37.130  131.91ms
23.235.32.243  132.06ms
23.235.37.123  132.15ms
23.235.37.206  132.39ms
23.235.33.133  132.41ms
23.235.36.65  132.41ms
23.235.32.42  132.70ms
23.235.33.96  133.06ms
23.235.37.172  133.20ms
23.235.33.42  133.26ms
23.235.36.51  133.50ms
23.235.36.107  133.71ms
23.235.37.104  133.79ms
23.235.36.216  134.00ms
23.235.36.59  134.00ms
23.235.37.154  134.00ms
23.235.33.176  134.01ms
23.235.36.83  134.10ms
23.235.36.198  134.12ms
23.235.36.195  134.30ms
23.235.37.173  134.34ms
23.235.36.139  134.50ms
23.235.37.126  134.86ms
23.235.33.66  135.00ms
23.235.32.27  135.10ms
23.235.32.213  135.14ms
23.235.32.97  135.23ms
23.235.33.70  135.25ms
23.235.37.254  135.35ms
23.235.32.215  135.41ms
23.235.37.171  135.51ms
23.235.37.100  135.57ms
23.235.32.232  135.58ms
23.235.32.153  135.64ms
23.235.33.39  135.80ms
23.235.37.222  135.84ms
23.235.32.135  135.88ms
23.235.37.200  136.32ms
23.235.33.164  136.37ms
23.235.36.99  136.37ms
23.235.37.5  136.66ms
23.235.33.17  136.67ms
23.235.37.156  136.71ms
23.235.37.74  137.00ms
23.235.32.160  137.00ms
23.235.36.163  137.24ms
23.235.37.36  137.24ms
23.235.37.90  137.60ms
23.235.32.120  137.74ms
23.235.32.199  137.80ms
23.235.32.11  137.86ms
23.235.37.142  138.10ms
23.235.33.172  138.25ms
23.235.37.202  138.41ms
23.235.37.207  138.60ms
23.235.36.13  138.88ms
23.235.33.14  139.03ms
23.235.36.147  139.08ms
23.235.33.216  139.39ms
23.235.37.175  139.50ms
23.235.36.48  139.64ms
23.235.33.36  139.96ms
66.211.168.241  129.25ms
66.211.168.2  134.73ms
66.211.168.131  135.25ms
66.211.168.243  135.73ms
66.211.168.120  136.23ms
66.211.168.199  136.23ms
66.211.168.181  137.23ms
66.211.168.184  138.21ms
66.211.168.9  138.33ms
66.211.168.54  138.83ms
66.211.168.11  139.23ms
66.211.168.189  139.23ms
66.211.168.244  139.33ms
66.211.168.46  139.33ms
104.156.82.36  86.33ms
104.156.81.196  95.09ms
104.156.80.76  97.00ms
104.156.81.90  99.61ms
104.156.80.116  99.80ms
104.156.81.246  100.03ms
104.156.84.229  100.33ms
104.156.80.162  100.59ms
104.156.80.120  101.44ms
104.156.81.35  101.84ms
104.156.81.126  102.37ms
104.156.81.185  102.62ms
104.156.81.37  102.86ms
104.156.85.145  103.66ms
104.156.80.218  103.94ms
104.156.80.236  104.33ms
104.156.84.9  104.50ms
104.156.81.217  105.58ms
104.156.80.154  105.74ms
104.156.80.203  105.83ms
104.156.81.48  106.36ms
104.156.82.41  106.54ms
104.156.81.53  106.66ms
104.156.81.210  107.00ms
104.156.80.221  107.00ms
104.156.85.207  107.04ms
104.156.80.8  107.25ms
104.156.80.148  107.32ms
104.156.82.45  107.38ms
104.156.85.92  107.88ms
104.156.80.229  108.00ms
104.156.81.240  108.04ms
104.156.80.222  108.25ms
104.156.81.243  108.55ms
104.156.85.87  108.72ms
104.156.85.161  108.85ms
104.156.80.195  108.98ms
104.156.81.24  109.19ms
104.156.81.143  109.56ms
104.156.81.34  109.57ms
104.156.85.142  109.70ms
104.156.84.222  110.14ms
104.156.84.66  110.35ms
104.156.92.52  110.89ms
104.156.84.148  110.95ms
104.156.80.132  111.00ms
104.156.84.231  111.38ms
104.156.85.197  111.40ms
104.156.85.98  111.55ms
104.156.80.84  111.55ms
104.156.80.183  112.00ms
104.156.84.240  112.47ms
104.156.85.106  112.71ms
104.156.85.206  112.77ms
104.156.80.45  112.94ms
104.156.84.157  112.98ms
104.156.80.117  112.98ms
104.156.81.76  113.00ms
104.156.84.188  113.38ms
104.156.85.228  113.51ms
104.156.81.229  113.51ms
104.156.84.226  113.79ms
104.156.85.33  113.83ms
104.156.85.226  113.95ms
104.156.81.225  114.02ms
104.156.81.22  114.08ms
104.156.81.195  114.09ms
104.156.80.152  114.09ms
104.156.85.218  114.30ms
104.156.80.142  114.45ms
104.156.81.129  114.45ms
104.156.80.17  114.50ms
104.156.81.165  114.50ms
104.156.80.19  115.00ms
104.156.81.145  115.15ms
104.156.85.202  115.19ms
104.156.84.32  115.48ms
104.156.81.109  115.56ms
104.156.80.39  116.18ms
104.156.80.89  116.27ms
104.156.84.150  116.28ms
104.156.80.179  116.72ms
104.156.84.68  116.74ms
104.156.85.111  117.00ms
104.156.81.84  117.11ms
104.156.84.130  117.50ms
104.156.84.4  117.53ms
104.156.92.47  117.81ms
104.156.81.220  117.92ms
104.156.92.32  118.00ms
104.156.84.244  118.00ms
104.156.85.199  118.00ms
104.156.82.50  118.36ms
104.156.84.250  118.36ms
104.156.85.231  118.45ms
104.156.85.52  118.74ms
104.156.81.73  118.91ms
104.156.84.198  118.93ms
104.156.81.36  118.97ms
104.156.93.40  119.02ms
104.156.92.42  119.23ms
104.156.84.195  119.48ms
104.156.81.67  119.50ms
104.156.80.79  119.73ms
104.156.81.214  119.83ms
104.156.84.107  120.50ms
104.156.80.94  120.52ms
104.156.92.25  120.76ms
104.156.81.5  120.81ms
104.156.85.174  121.08ms
104.156.84.109  121.26ms
104.156.80.149  121.44ms
104.156.80.197  121.58ms
104.156.82.29  121.60ms
104.156.85.186  121.92ms
104.156.85.194  122.35ms
104.156.80.34  122.38ms
104.156.84.80  122.50ms
104.156.80.159  122.50ms
104.156.85.32  122.55ms
104.156.81.151  122.67ms
104.156.81.93  122.73ms
104.156.93.81  122.77ms
104.156.85.11  122.83ms
104.156.85.4  123.06ms
104.156.81.45  123.22ms
104.156.92.37  123.35ms
104.156.81.92  123.65ms
104.156.85.70  123.71ms
104.156.82.40  124.07ms
104.156.84.203  124.40ms
104.156.80.128  124.40ms
104.156.80.105  124.53ms
104.156.84.70  124.53ms
104.156.84.69  124.72ms
104.156.84.36  124.80ms
104.156.81.105  124.93ms
104.156.84.62  124.96ms
104.156.81.138  125.04ms
104.156.80.58  125.27ms
104.156.85.16  125.36ms
104.156.85.10  125.36ms
104.156.93.92  125.44ms
104.156.85.233  125.98ms
104.156.81.226  126.00ms
104.156.93.69  126.07ms
104.156.85.90  126.33ms
104.156.84.134  126.36ms
104.156.80.121  126.38ms
104.156.85.75  126.50ms
104.156.81.54  126.75ms
104.156.84.79  126.78ms
104.156.85.124  126.79ms
104.156.82.23  126.99ms
104.156.81.236  127.18ms
104.156.80.10  127.58ms
104.156.80.213  127.72ms
104.156.84.221  127.72ms
104.156.81.235  127.87ms
104.156.84.87  128.04ms
104.156.81.39  128.06ms
104.156.82.38  128.10ms
104.156.84.26  128.17ms
104.156.92.27  128.19ms
104.156.80.185  128.34ms
104.156.84.22  128.71ms
104.156.89.1  128.73ms
104.156.84.187  128.91ms
104.156.80.172  129.07ms
104.156.93.83  129.11ms
104.156.93.80  129.44ms
104.156.80.74  129.50ms
104.156.84.176  129.68ms
104.156.81.71  129.70ms
104.156.81.124  129.78ms
104.156.93.31  129.83ms
104.156.80.184  129.83ms
104.156.85.155  129.98ms
104.156.85.57  130.00ms
104.156.80.33  130.11ms
104.156.85.179  130.23ms
104.156.80.135  130.26ms
104.156.84.51  130.39ms
104.156.85.38  130.45ms
104.156.81.108  130.50ms
104.156.84.219  130.82ms
104.156.85.208  130.92ms
104.156.84.102  131.00ms
104.156.84.155  131.00ms
104.156.84.136  131.06ms
104.156.84.126  131.06ms
104.156.82.43  131.51ms
104.156.80.9  131.63ms
104.156.84.58  131.64ms
104.156.80.137  131.88ms
104.156.84.111  132.04ms
104.156.81.252  132.23ms
104.156.93.93  132.23ms
104.156.80.216  132.41ms
104.156.81.50  132.42ms
104.156.80.50  132.73ms
104.156.85.143  132.83ms
104.156.84.245  133.00ms
104.156.82.33  133.19ms
104.156.81.192  133.24ms
104.156.84.230  133.83ms
104.156.80.171  133.96ms
104.156.85.54  133.99ms
104.156.82.28  134.00ms
104.156.84.106  134.09ms
104.156.84.152  134.11ms
104.156.84.90  134.51ms
104.156.80.177  134.51ms
104.156.81.142  134.51ms
104.156.85.171  134.55ms
104.156.80.62  134.55ms
104.156.92.34  134.92ms
104.156.82.34  135.00ms
104.156.93.82  135.00ms
104.156.85.205  135.01ms
104.156.80.7  135.22ms
104.156.81.42  135.23ms
104.156.80.207  135.29ms
104.156.81.20  135.34ms
104.156.84.233  135.40ms
104.156.81.188  135.50ms
104.156.81.137  135.54ms
104.156.81.88  135.68ms
104.156.81.201  135.74ms
104.156.84.129  135.83ms
104.156.81.221  136.29ms
104.156.85.182  136.32ms
104.156.81.55  136.43ms
104.156.92.60  136.48ms
104.156.85.219  136.66ms
104.156.85.125  136.74ms
104.156.81.21  136.77ms
104.156.92.44  136.83ms
104.156.84.18  136.98ms
104.156.93.65  137.00ms
104.156.80.83  137.09ms
104.156.84.238  137.20ms
104.156.81.13  137.29ms
104.156.84.8  137.37ms
104.156.85.64  137.64ms
104.156.81.250  137.89ms
104.156.92.64  137.90ms
104.156.80.155  137.90ms
104.156.81.141  137.96ms
104.156.93.74  138.00ms
104.156.89.22  138.00ms
104.156.85.36  138.21ms
104.156.84.237  138.27ms
104.156.81.216  138.37ms
104.156.84.95  138.51ms
104.156.84.209  138.61ms
104.156.81.219  138.73ms
104.156.85.55  138.77ms
104.156.81.164  138.78ms
104.156.85.13  138.95ms
104.156.81.228  139.18ms
104.156.80.11  139.23ms
104.156.84.48  139.24ms
104.156.92.38  139.42ms
104.156.80.227  139.47ms
104.156.80.47  139.60ms
