104.23.101.181  129.66ms
104.23.142.30  187.16ms
104.23.104.154  172.04ms
104.23.117.62  140.77ms
104.23.134.232  165.04ms
104.23.135.153  205.20ms
104.23.134.122  182.91ms
104.23.118.5  136.73ms
104.23.98.59  143.30ms
104.23.137.105  160.82ms
104.23.108.190  167.03ms
104.23.126.166  161.19ms
104.23.126.132  118.02ms
104.23.140.111  122.46ms
104.23.106.103  139.36ms
104.23.140.35  164.08ms
104.23.103.83  116.12ms
104.23.106.95  124.48ms
104.23.127.61  130.04ms
104.23.106.38  119.24ms
104.23.109.189  150.93ms
104.23.121.127  56.41ms
104.23.115.70  154.43ms
104.23.143.15  178.78ms
104.23.113.36  109.01ms
104.23.126.65  70.20ms
104.23.137.76  141.00ms
104.23.113.244  149.00ms
104.23.122.187  91.57ms
104.23.102.153  137.96ms
104.23.119.105  130.55ms
104.23.135.115  173.14ms
104.23.131.35  177.93ms
104.23.110.144  156.02ms
104.23.139.81  155.45ms
104.23.136.68  210.69ms
104.23.114.221  182.64ms
104.23.96.199  132.54ms
104.23.118.54  138.69ms
104.23.116.74  154.64ms
104.23.117.146  181.74ms
104.23.104.19  151.88ms
104.23.120.113  141.90ms
104.23.133.68  191.73ms
104.23.125.19  186.83ms
104.23.111.235  168.21ms
104.23.126.10  144.61ms
104.23.129.57  198.06ms
104.23.137.23  181.51ms
104.23.128.26  193.46ms
104.23.134.120  176.51ms
104.23.133.23  177.80ms
104.23.134.136  185.56ms
104.23.112.121  143.29ms
104.23.96.249  143.29ms
104.23.143.33  167.35ms
104.23.124.32  146.98ms
104.23.100.44  179.60ms
104.23.98.199  149.27ms
104.23.140.45  169.87ms
104.23.111.204  153.08ms
104.23.108.29  183.29ms
104.23.135.159  174.48ms
104.23.132.146  180.85ms
104.23.134.59  180.85ms
104.23.121.179  136.35ms
104.23.106.235  133.80ms
104.23.129.71  168.69ms
104.23.117.151  174.27ms
104.23.124.44  142.15ms
104.23.142.55  190.74ms
104.23.138.147  175.74ms
104.23.130.61  193.76ms
104.23.112.155  136.32ms
104.23.103.36  174.37ms
104.23.129.201  193.81ms
104.23.114.82  181.14ms
104.23.99.92  186.35ms
104.23.137.162  194.16ms
104.23.113.12  139.32ms
104.23.116.41  178.82ms
104.23.106.73  140.51ms
104.23.102.172  172.82ms
104.23.123.126  177.24ms
104.23.132.39  185.22ms
104.23.138.172  172.99ms
104.23.113.228  140.66ms
104.23.122.209  137.71ms
104.23.112.42  140.71ms
104.23.134.234  203.42ms
104.23.130.148  182.00ms
104.23.111.49  178.84ms
104.23.124.226  177.10ms
104.23.143.154  190.97ms
104.23.125.108  140.46ms
104.23.116.251  185.19ms
104.23.129.56  194.28ms
104.23.118.48  139.25ms
104.23.106.243  185.69ms
104.23.115.72  145.35ms
104.23.141.69  182.95ms
104.23.118.36  140.04ms
104.23.123.187  178.61ms
104.23.126.253  146.98ms
104.23.116.89  138.29ms
104.23.126.171  170.55ms
104.23.100.103  173.55ms
104.23.123.40  142.48ms
104.23.140.17  198.69ms
104.23.113.255  140.80ms
104.23.116.129  140.80ms
104.23.107.38  178.63ms
104.23.118.195  180.66ms
104.23.129.228  181.19ms
104.23.100.139  178.63ms
104.23.108.251  134.41ms
104.23.103.79  164.34ms
104.23.137.197  185.66ms
104.23.99.4  180.82ms
104.23.141.233  192.47ms
104.23.130.73  199.21ms
104.23.110.12  170.86ms
104.23.120.21  181.79ms
104.23.135.106  208.43ms
104.23.98.193  141.27ms
104.23.114.61  182.33ms
104.23.104.104  173.74ms
104.23.105.27  175.33ms
104.23.100.7  141.87ms
104.23.132.45  192.64ms
104.23.116.169  134.77ms
104.23.101.247  138.58ms
104.23.114.46  177.73ms
104.23.110.167  153.31ms
104.23.137.238  154.46ms
104.23.129.197  157.45ms
104.23.111.253  185.03ms
104.23.106.179  149.37ms
104.23.113.140  177.18ms
104.23.121.23  184.13ms
104.23.141.118  176.53ms
104.23.128.54  183.85ms
104.23.101.241  163.28ms
104.23.124.217  135.96ms
104.23.109.70  180.04ms
104.23.107.93  132.96ms
104.23.126.176  143.86ms
104.23.102.37  137.13ms
104.23.121.80  168.42ms
104.23.100.178  131.83ms
104.23.129.167  173.40ms
104.23.143.4  177.84ms
104.23.103.173  143.87ms
104.23.105.162  181.84ms
104.23.118.238  180.15ms
104.23.116.19  172.79ms
104.23.110.95  135.98ms
104.23.122.243  176.51ms
104.23.140.90  191.59ms
104.23.137.150  175.44ms
104.23.130.44  184.36ms
104.23.131.72  178.06ms
104.23.134.127  156.77ms
104.23.141.135  161.43ms
104.23.105.88  189.75ms
104.23.113.88  148.41ms
104.23.132.65  179.30ms
104.23.135.83  166.44ms
104.23.114.192  116.52ms
104.23.122.214  176.46ms
104.23.135.239  181.15ms
104.23.143.51  176.06ms
104.23.103.155  140.71ms
104.23.107.190  179.35ms
104.23.98.117  139.24ms
104.23.104.41  138.66ms
104.23.142.59  204.68ms
104.23.143.240  189.11ms
104.23.118.34  175.13ms
104.23.131.86  171.13ms
104.23.138.192  190.90ms
104.23.106.19  177.91ms
104.23.111.236  137.71ms
104.23.121.220  138.71ms
104.23.142.23  194.70ms
104.23.133.168  206.25ms
104.23.137.136  181.14ms
104.23.101.160  175.57ms
104.23.135.227  180.51ms
104.23.112.206  140.74ms
104.23.103.99  177.08ms
104.23.122.195  133.38ms
104.23.130.38  206.83ms
104.23.136.233  180.08ms
104.23.142.114  177.73ms
104.23.105.129  135.89ms
104.23.105.236  180.62ms
104.23.113.87  182.34ms
104.23.96.58  181.80ms
104.23.110.91  137.72ms
104.23.98.157  138.77ms
104.23.126.138  174.23ms
104.23.103.105  137.22ms
104.23.133.122  188.83ms
104.23.138.90  212.69ms
104.23.116.206  133.69ms
104.23.128.45  191.33ms
104.23.112.102  183.00ms
104.23.128.23  183.54ms
104.23.131.90  165.63ms
104.23.100.191  136.17ms
104.23.140.227  184.07ms
